YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,4,4,7,8.74,0.0,86.25,2.44,100.01,202104
2021,4,4,8,9.09,0.0,85.88,2.88,100.03,202104
2021,4,4,9,10.06,0.0,83.25,3.22,100.03,202104
2021,4,4,10,12.15,0.0,71.25,3.42,100.0,202104
2021,4,4,11,14.61,0.0,54.38,3.44,99.94,202104
2021,4,4,12,15.98,0.0,47.38,3.34,99.86,202104
2021,4,4,13,16.78,0.0,44.56,3.22,99.78,202104
2021,4,4,14,17.44,0.0,43.44,3.04,99.67,202104
2021,4,4,15,17.81,0.0,42.75,3.05,99.58,202104
2021,4,4,16,17.27,0.0,47.94,3.07,99.52,202104
2021,4,4,17,15.24,0.0,57.62,3.83,99.47,202104
2021,4,4,18,13.23,0.0,61.75,4.88,99.46,202104
2021,4,4,19,12.39,0.0,67.06,5.53,99.49,202104
2021,4,4,20,11.74,0.0,73.94,5.91,99.5,202104
2021,4,4,21,11.15,0.0,80.25,6.12,99.49,202104
2021,4,4,22,10.58,0.0,85.25,6.27,99.46,202104
2021,4,4,23,10.19,0.0,88.56,6.49,99.44,202104
2021,4,5,0,9.94,0.0,90.69,6.75,99.4,202104
2021,4,5,1,9.77,0.02,92.06,6.82,99.37,202104
2021,4,5,2,9.38,0.1,94.38,6.44,99.34,202104
2021,4,5,3,9.29,0.01,94.69,6.4,99.3,202104
2021,4,5,4,9.22,0.0,95.06,6.42,99.26,202104
2021,4,5,5,9.01,0.0,96.19,5.93,99.28,202104
2021,4,5,6,9.01,0.0,95.69,5.61,99.28,202104
2021,4,5,7,9.84,0.0,91.81,5.59,99.28,202104
2021,4,5,8,11.66,0.0,85.75,5.71,99.27,202104
2021,4,5,9,14.01,0.0,77.69,6.63,99.23,202104
2021,4,5,10,15.33,0.0,70.69,7.04,99.2,202104
2021,4,5,11,15.83,0.0,66.56,6.89,99.15,202104
2021,4,5,12,16.11,0.01,64.19,6.74,99.11,202104
2021,4,5,13,16.14,0.01,63.88,6.43,99.08,202104
2021,4,5,14,15.97,0.01,67.62,5.46,99.07,202104
2021,4,5,15,16.13,0.01,73.06,3.98,99.1,202104
2021,4,5,16,16.63,0.01,74.38,2.96,99.06,202104
2021,4,5,17,16.15,0.0,73.62,3.57,99.04,202104
2021,4,5,18,14.47,0.0,76.62,4.56,99.04,202104
2021,4,5,19,13.65,0.0,80.44,5.04,99.08,202104
2021,4,5,20,13.07,0.0,83.06,5.48,99.09,202104
2021,4,5,21,12.53,0.0,84.75,6.3,99.08,202104
2021,4,5,22,12.16,0.0,86.25,7.07,99.07,202104
2021,4,5,23,11.69,0.0,88.75,7.08,99.06,202104
2021,4,6,0,11.16,0.0,91.56,6.93,99.05,202104
2021,4,6,1,10.64,0.0,94.38,6.77,99.03,202104
2021,4,6,2,10.09,0.01,97.88,6.51,99.02,202104
2021,4,6,3,9.71,0.01,99.62,6.1,99.03,202104
2021,4,6,4,9.48,0.01,100.0,5.8,99.03,202104
2021,4,6,5,9.39,0.01,100.0,5.72,99.05,202104
2021,4,6,6,9.86,0.0,97.62,5.9,99.08,202104
2021,4,6,7,10.75,0.0,94.75,5.6,99.09,202104
2021,4,6,8,12.23,0.0,90.31,5.56,99.09,202104
2021,4,6,9,14.15,0.0,82.25,6.04,99.07,202104
2021,4,6,10,15.73,0.0,71.75,6.25,99.03,202104
2021,4,6,11,16.89,0.0,64.56,6.12,98.98,202104
2021,4,6,12,17.71,0.0,60.69,5.9,98.91,202104
2021,4,6,13,18.13,0.0,58.19,5.76,98.84,202104
2021,4,6,14,18.22,0.0,57.44,5.86,98.8,202104
2021,4,6,15,17.83,0.0,59.56,6.04,98.8,202104
2021,4,6,16,17.09,0.0,65.44,5.72,98.82,202104
